crunchbase_Organization Name,crunchbase_IPO Status,crunchbase_Industries,crunchbase_Number of Employees,crunchbase_Headquarters Location,crunchbase_CB Rank (Company),crunchbase_Similar Companies,crunchbase_Acquisition Type,crunchbase_Price (in USD),crunchbase_Number of Investors,crunchbase_Number of Lead Investors,crunchbase_Top 5 Investors,crunchbase_Total Funding Amount (in USD),crunchbase_Last Equity Funding Type,crunchbase_Last Equity Funding Amount (in USD),crunchbase_Last Funding Amount (in USD),crunchbase_Funding Status,crunchbase_Number of Funding Rounds,crunchbase_Founders,crunchbase_Number of Founders,crunchbase_Exit Date,crunchbase_Founded Date,crunchbase_Operating Status,crunchbase_Estimated Revenue Range,crunchbase_Postal Code,anagrafica_Ragione sociale,anagrafica_Provincia,anagrafica_Indirizzo sede legale - Codice postale,anagrafica_Indirizzo sede legale - Regione,anagrafica_Sede operativa,anagrafica_Sede operativa - Provincia,anagrafica_Sede operativa - Codice postale,anagrafica_Sede operativa - Regione - Regione,"anagrafica_ATECO 2007
codice",anagrafica_Anno di costituzione,anagrafica_Fondazione,anagrafica_Stato giuridico,anagrafica_Forma giuridica
Rebel Dynamics,Private,"Manufacturing, Robotics",1-10,"Besana Brianza, Lombardia, Italy","1,691,186",11.0,,,,,,,,,,,,"Francesco La Mura, Giovanni Todeschini, Hermes Giberti",3.0,,2019-01-01,Active,$1M to $10M,23861,REBEL DYNAMICS S.R.L.,Lecco,23900.0,Lombardia,VIA CARLO PORTA 38,Lecco,23861.0,LOMBARDIA,282999.0,13/09/2019,,Attiva,S.R.L.
Covision Lab,Private,"Artificial Intelligence (AI), E-Commerce, Information Technology, Machine Learning, Software",11-50,"Brixen, Trentino-Alto Adige, Italy","268,853",7.0,,,,,,,Seed,,,Seed,1.0,"Franz Tschimben, Harald Oberrauch",2.0,,2019-07-20,Active,$1M to $10M,39042,COVISION LAB SCARL,Bolzano/Bozen,39042.0,Trentino-Alto Adige/Südtirol,VIA JULIUS DURST 4,Bolzano/Bozen,39042.0,TRENTINO-ALTO,721909.0,18/06/2019,,Attiva,Società consortile a responsabilita' limitata
Aryel,Private,"Advertising, Augmented Reality, Marketing, SaaS",51-100,"Milan, Lombardia, Italy","34,492",10.0,,,3.0,1.0,"PranaVentures, Selected Investments, KF Ventures",3980722.0,Seed,3219330.0,3219330.0,Seed,2.0,"Leonardo Persico, Luca Petri, Mattia Salvi, Vincenzo Schifano",4.0,,2020-06-12,Active,$1M to $10M,20139,ARYEL S.R.L.,Milano,20143.0,Lombardia,VIA ARCIVESCOVO CALABIANA 6,Milano,20139.0,LOMBARDIA,631130.0,12/06/2020,,Attiva,S.R.L.
Macai,Private,"B2C, Delivery, E-Commerce, Food and Beverage, Food Delivery, Grocery, Internet, Retail Technology",1-10,"Milan, Lombardia, Italy","50,579",242.0,,,4.0,1.0,"Plug and Play, Lumen Ventures, Proximity Capital, Cats.vc",3000000.0,Pre-Seed,3000000.0,3000000.0,Seed,2.0,"Alessandro Lattao, Filippo Binci, Giovanni Cavallo",3.0,,2021-04-01,Active,,20124,MACAI S.R.L.,Milano,20123.0,Lombardia,,,,,620100.0,23/04/2021,,Attiva,S.R.L.
9-Tech,Private,"Environmental Engineering, GreenTech, Recycling, Waste Management",1-10,"Venezia, Veneto, Italy","383,866",10.0,,,,,,,,,,,,,,,2020-01-30,Active,,30176,COOL TECH S.R.L.,Roma,143.0,Lazio,,,,,620100.0,17/11/2020,,Attiva,S.R.L.
Mediqua,Private,"Health Care, Medical, Medical Device",11-50,"Albano Laziale, Lazio, Italy","579,309",19.0,,,,,,,,,,,,,,,2018-01-01,Active,,41,MEDIQUA S.R.L.,Roma,41.0,Lazio,,,,,266002.0,25/07/2019,,Attiva,S.R.L.
SicuraNext,Private,"Cloud Security, Cyber Security, Information Technology",11-50,"Turin, Piemonte, Italy","1,165,571",23.0,,,,,,,,,,,,,,,2018-01-01,Active,,10121,SICURANEXT S.R.L.,Torino,10122.0,Piemonte,VIA DEGLI STAMPATORI 18,Torino,10122.0,PIEMONTE,620100.0,17/04/2019,,Attiva,S.R.L.
Sellix,Private,"Cryptocurrency, E-Commerce, E-Commerce Platforms, Payments, SaaS, Software",11-50,"Bologna, Emilia-Romagna, Italy","107,316",24.0,,,,,,,,,,,,Daniele Servadei,1.0,,2021-11-01,Active,$1M to $10M,40126,SELLIX S.R.L.,Bologna,40126.0,Emilia-Romagna,,,,,631200.0,19/10/2021,,Attiva,S.R.L.
Broker Auto,Private,"Automotive, Rental, Retail, Wholesale",,"Milan, Lombardia, Italy","2,422,713",43.0,,,,,,,,,,,,,,,2021-05-14,Active,Less than $1M,20124,BROKER AUTO S.R.L.,Milano,20124.0,Lombardia,VIALE SONDRIO 3,Milano,20124.0,LOMBARDIA,451101.0,24/02/2021,,Attiva,S.R.L.
Learnn,Private,E-Learning,1-10,"Milano, Lombardia, Italy","277,056",,,,,,,,,,,,,Luca Mastella,1.0,,2020-01-01,Active,,20145,LEARNN S.R.L.,Milano,20145.0,Lombardia,,,,,855990.0,29/04/2020,,Attiva,S.R.L.
Terzago Robotics,Private,"Consulting, Robotics, Training",11-50,"La Spezia, Liguria, Italy","2,152,914",10.0,,,,,,,,,,,,,,,2020-01-01,Active,$1M to $10M,19126,TERZAGO ROBOTICS S.R.L.,La Spezia,19124.0,Liguria,,,,,620100.0,10/02/2020,,Attiva,S.R.L.
Amagency,Private,"Advertising, Digital Marketing, Personal Branding, Social Media Marketing",1-10,"Milano, Lombardia, Italy","1,171,666",9.0,,,,,,,,,,,,Amalia Mariotti,1.0,,2020-01-01,Active,Less than $1M,20135,AMAGENCY SRL,Milano,20135.0,Lombardia,,,,,620200.0,02/07/2021,,Attiva,S.R.L.
Cargo Start,Private,"Information Technology, Logistics, Real Time",11-50,"Rome, Lazio, Italy","784,353",10.0,Acquisition,,,,,,,,,M&A,,,,2022-12-22,2020-01-01,Active,Less than $1M,145,CARGO START SRL,Roma,198.0,Lazio,,,,,619099.0,31/07/2019,,Attiva,S.R.L.
Ai4Health,Private,"Artificial Intelligence (AI), Consulting, Health Care, Software",11-50,"Modena, Emilia-Romagna, Italy","2,145,366",16.0,,,,,,,,,,,,,,,2021-01-01,Active,Less than $1M,,AI4HEALTH SRL,Modena,41123.0,Emilia-Romagna,,,,,620909.0,04/12/2019,,Attiva,S.R.L.
2Watch,Private,"Gaming, Marketing, Media and Entertainment, TV Production",11-50,"Napoli, Campania, Italy","72,142",3.0,,,1.0,,Giorgio Chiellini,1528653.0,Seed,983000.0,983000.0,Seed,2.0,Fabrizio Perrone,1.0,,2020-11-01,Active,$1M to $10M,80122,2WATCH S.R.L.,Napoli,80122.0,Campania,,,,,631200.0,28/10/2020,,Attiva,S.R.L.
GreenGo,Private,"Power Grid, Solar, Wind Energy",11-50,"Bologna, Emilia-Romagna, Italy","66,496",,,,2.0,2.0,"Intesa Sanpaolo, Eiffel Investment Group",59771934.0,Venture - Series Unknown,7711799.0,35564981.0,,3.0,,,,2018-01-01,Active,,,GREENGOOD S.R.L.,Palermo,90141.0,Sicilia,"VIA GIOVAN BATTISTA GUCCIA 22,24,26",Palermo,90100.0,SICILIA,721000.0,29/04/2017,,Attiva,S.R.L.
Etailing,Private,"Advertising, Marketing, SEO",1-10,"Florence, Toscana, Italy","455,218",10.0,,,,,,,,,,,,"Chiara Berni, Massimiliano Scalabrino",2.0,,2019-01-01,Active,Less than $1M,50124,ETAILING S.R.L.,Firenze,50124.0,Toscana,,,,,620100.0,11/06/2020,,Attiva,S.R.L.
VECTRA,Private,"Automotive, Industrial Automation, Manufacturing",,"Bagno, Toscana, Italy","2,877,994",8.0,,,,,,,,,,,,,,,2021-01-01,Active,,42122,VECTRA SRL,Modena,41123.0,Emilia-Romagna,,,,,289920.0,08/09/2020,,Attiva,S.R.L.
Bcame,Private,"DevOps, E-Commerce, Information Technology",11-50,"Catania, Sicilia, Italy","494,552",9.0,,,,,,,,,,,,,,,2019-07-01,Active,,95126,BCAME S.R.L.,Catania,95126.0,Sicilia,,,,,620909.0,27/05/2019,,Attiva,S.R.L.
Nema,Private,"Advice, Business Development, Consulting, Manufacturing",11-50,"Milan, Lombardia, Italy","3,340,629",12.0,,,,,,,,,,,,,,,2018-01-01,Active,,20144,KINEMA SRL,Bologna,40016.0,Emilia-Romagna,VIA DANTE ALIGHIERI 3/C,Bologna,40069.0,EMILIA-ROMAGNA,289920.0,06/11/2020,,Attiva,S.R.L.
Art Shares,Private,"Apps, Information Technology",1-10,"Milan, Lombardia, Italy","1,720,384",9.0,,,,,,,,,,,,,,,2019-01-01,Active,,20123,ARTSHARES S.R.L.,Milano,20123.0,Lombardia,VIA SBARRE INFERIORI 379,Reggio Calabria,89129.0,CALABRIA,620100.0,03/10/2019,,Attiva,S.R.L.
CatEMission,Private,"Industrial, Industrial Manufacturing, Manufacturing",11-50,"Genova, Liguria, Italy","2,494,098",17.0,,,,,,,,,,,,,,,2019-01-01,Active,,16162,CATEMISSION S.R.L.,Genova,16162.0,Liguria,VIA GIUSEPPE COLANO 9 A/14 D,Genova,16162.0,LIGURIA,282991.0,11/06/2021,,Attiva,S.R.L.
Volumio,Private,"Audio, Hardware, Music, Software",1-10,"Florence, Toscana, Italy","300,086",8.0,,,,,,,,,,,,Michelangelo Guarise,1.0,,2018-01-01,Active,$1M to $10M,50122,VOLUMIO SRL,Firenze,50122.0,Toscana,,,,,620909.0,30/03/2020,,Attiva,S.R.L.
Spatium,Private,"Leasing, Real Estate, Rental",1-10,"Milan, Lombardia, Italy","1,921,481",10.0,,,,,,,,,,,,Dimitri Ferroni,1.0,,2020-01-01,Active,,20122,SPATIUM S.R.L.,Milano,20123.0,Lombardia,,,,,821102.0,10/05/2019,,Attiva,S.R.L.
Lemonpie,Private,"Consulting, Software, UX Design",11-50,"Bergamo, Lombardia, Italy","1,173,709",9.0,,,,,,,,,,,,,,,2019-01-01,Active,,24126,LEMONPIE S.R.L.,Milano,20125.0,Lombardia,VIA DELLE CANOVINE 46,Bergamo,24126.0,LOMBARDIA,620909.0,29/10/2020,,Attiva,S.R.L.
Blu Martin Yachts,Private,"Boating, Manufacturing, Marine Technology",1-10,"Cassino, Lazio, Italy","3,282,387",23.0,,,,,,,,,,,,,,,2021-01-01,Active,Less than $1M,22070,BLU MARTIN YACHTS S.R.L.,Como,22070.0,Lombardia,,,,,301200.0,03/06/2021,,Attiva,S.R.L.
Cybertech,Private,"Analytics, Cyber Security, IT Infrastructure, Software",251-500,"Rome, Lazio, Italy","742,000",3.0,,,,,,,,,,,,,,,2019-01-01,Active,$10M to $50M,144,BERRYTECH S.R.L.,Trento,38042.0,Trentino-Alto Adige/Südtirol,,,,,721909.0,17/10/2019,,Attiva,S.R.L.
Hoplix,Private,"Data Integration, Printing, Shipping",1-10,"Pozzuoli, Campania, Italy","199,554",10.0,,,1.0,,CDP Equity,117799.0,Seed,117799.0,117799.0,Seed,1.0,Antonio Calabrese,1.0,,2020-01-01,Active,,80078,HOPLIX S.R.L.,Napoli,80078.0,Campania,VIA ANTINIANA 2/I,Napoli,80078.0,CAMPANIA,479110.0,11/04/2019,,Attiva,S.R.L.
Drinkme,Private,"Delivery, E-Commerce, Food and Beverage, Wine And Spirits",1-10,"Busto Arsizio, Lombardia, Italy","115,762",10.0,,,,,,902504.0,Equity Crowdfunding,616615.0,616615.0,,2.0,"Andrea Marcella, Debora Frascoli, Fabio Brusa Pasque’, Luca Brusa, Tommaso Petrolo",5.0,,2021-05-11,Active,,21052,DRINKME SRL,Varese,21052.0,Lombardia,VIA FRATELLI D'ITALIA 5,Varese,21052.0,LOMBARDIA,620909.0,24/05/2021,,Attiva,S.R.L.
Broletto Corporate Advisory,Private,"Advice, Finance, Financial Services",1-10,"Milan, Lombardia, Italy","2,121,143",19.0,,,,,,,,,,,,,,,2020-01-01,Active,,20121,BROLETTO CORPORATE ADVISORY S.R.L.,Milano,20122.0,Lombardia,VIA CHIARAVALLE 7,Milano,20122.0,LOMBARDIA,620100.0,09/12/2020,,Attiva,S.R.L.
Factanza,Private,"Information Services, News, Podcast",11-50,"Milan, Lombardia, Italy","293,311",15.0,,,2.0,1.0,"PranaVentures, Zeta Holding",,Seed,,,Seed,1.0,Bianca Arrighini,1.0,,2020-01-01,Active,$1M to $10M,,FACTANZA MEDIA S.R.L.,Milano,20144.0,Lombardia,VIA DEL CARAVAGGIO 3,Milano,20144.0,LOMBARDIA,631200.0,16/09/2020,,Attiva,S.R.L.
Hypercast,Private,"Brand Marketing, Content, Marketing, Podcast",1-10,"Rome, Lazio, Italy","2,128,004",11.0,,,,,,,,,,,,,,,2021-01-01,Active,,153,HYPERCAST S.R.L.,Roma,144.0,Lazio,VIALE BEATA VERGINE DEL CARMELO 22,Roma,144.0,LAZIO,620100.0,17/11/2021,,Attiva,S.R.L.
Rexilience,Private,"Cyber Security, Risk Management, Security",1-10,"Milan, Lombardia, Italy","1,020,886",16.0,,,,,,,,,,,,Corrado Giustozzi,1.0,,2021-01-01,Active,,20121,REXILIENCE S.R.L.,Milano,20121.0,Lombardia,,,,,620200.0,15/09/2021,,Attiva,S.R.L.
Newel Health,Private,"Biotechnology, Health Care, Medical, Neuroscience, Service Industry, Therapeutics",11-50,"Salerno, Campania, Italy","64,967",6.0,,,2.0,2.0,"Michael J. Fox Foundation, Healthware Ventures",6919401.0,Seed,4419401.0,2500000.0,Seed,2.0,,,,2021-12-01,Active,,84121,NEWEL HEALTH S.R.L.,Salerno,84121.0,Campania,,,,,620100.0,19/10/2021,,Attiva,S.R.L.
Apprendo,Private,"3D Technology, Blockchain, Gaming, Metaverse, Mobile Apps, Software, Web3",1-10,"Rome, Lazio, Italy","623,441",10.0,,,,,,,,,,,,,,,2021-01-01,Active,$1M to $10M,165,APPRENDO S.R.L.,Roma,165.0,Lazio,VIA TEODORO VALFRE' 11,Roma,165.0,LAZIO,620100.0,04/03/2021,,Attiva,S.R.L.
Brin Company,Private,"Financial Services, Fuel, Payments",1-10,"Milan, Lombardia, Italy","1,120,672",10.0,,,,,,,,,,,,"Armando Petrillo Giannini, Flavio Giammello",2.0,,2019-09-17,Active,Less than $1M,,BRIN COMPANY SRL,Milano,20149.0,Lombardia,,,,,620909.0,17/09/2019,,Attiva,S.R.L.
Advanced Robotics,Private,"Industrial Automation, Machinery Manufacturing, Robotics",1-10,"Brescia, Lombardia, Italy","973,267",12.0,,,,,,,,,,,,,,,2021-01-01,Active,,25128,ADVANCED ROBOTICS S.R.L.,Brescia,25128.0,Lombardia,,,,,620200.0,03/09/2021,,Attiva,S.R.L.
Nextegy,Private,"Cyber Security, Information Technology",11-50,"Perugia, Umbria, Italy","3,085,103",9.0,,,,,,,,,,,,Daniel Monacelli,1.0,,2021-01-01,Active,$1M to $10M,6135,NEXTEGY S.R.L.,Perugia,6135.0,Umbria,VIA BRUNO SIMONUCCI 18,Perugia,6135.0,UMBRIA,620100.0,17/02/2021,,Attiva,S.R.L.
Inside Climate Service,Private,"Business Development, Environmental Consulting, Information Services",1-10,"Padua, Veneto, Italy","2,928,918",8.0,,,,,,,,,,,,,,,2021-06-21,Active,,35129,INSIDE CLIMATE SERVICE S.R.L.,Padova,35129.0,Veneto,,,,,620100.0,21/06/2021,,Attiva,S.R.L.
Medrop,Private,"E-Commerce, Health Care, Medical",1-10,"Milan, Lombardia, Italy","2,195,121",11.0,,,,,,,,,,,,,,,2020-01-01,Active,$1M to $10M,20135,MEDROS S.R.L.,Palermo,90135.0,Sicilia,,,,,862209.0,29/03/2019,,Attiva,S.R.L.
V-ResearchIT,Private,"Cyber Security, Information Services, Information Technology",1-10,"Verona, Veneto, Italy","1,514,043",9.0,,,,,,,,,,,,,,,2020-01-01,Active,,37133,V.E. RESEARCH S.R.L.,Napoli,80014.0,Campania,,,,,721909.0,03/09/2020,,Attiva,S.R.L.
Wetacoo,Private,"Information Technology, Self-Storage, Transportation",11-50,"Rome, Lazio, Italy","116,030",2.0,,,2.0,1.0,"Growth Engine, InnoVaventures",846533.0,Pre-Seed,846533.0,,Seed,2.0,"Federico Prugnoli, Pierfrancesco Bosco",2.0,,2021-01-01,Active,,189,WETACOO S.R.L.,Roma,144.0,Lazio,VIA SAVOIA 84,Roma,198.0,LAZIO,620100.0,13/01/2021,,Attiva,S.R.L.
Sourcemate,Private,"Consulting, IT Management, Training",1-10,"Milan, Lombardia, Italy","1,331,240",11.0,,,,,,,,,,,,,,,2022-01-01,Active,,20090,SOURCEMATE S.R.L.,Bari,70024.0,Puglia,,,,,620100.0,14/12/2021,,Attiva,S.R.L.
Mandala,Private,"Accounting, Advice, Consulting, Financial Services",1-10,"Milan, Lombardia, Italy","1,300,707",13.0,,,,,,,,,,,,,,,2018-02-01,Active,Less than $1M,20124,MANDALAKI S.R.L.,Milano,20141.0,Lombardia,,,,,741090.0,19/10/2020,,Attiva,S.R.L.
Ecommerce Company,Private,"Advertising, Digital Marketing, E-Commerce, Market Research",1-10,"Naples, Campania, Italy","416,888",13.0,,,,,,,,,,,,,,,2019-01-01,Active,Less than $1M,,ECOMMERCE COMPANY S.R.L.,Napoli,80143.0,Campania,,,,,731102.0,16/01/2020,,Attiva,S.R.L.
Ingeia,Private,"B2B, Facility Management, Management Consulting",1-10,"Lecce, Puglia, Italy","2,934,063",10.0,,,,,,,,,,,,,,,2019-01-01,Active,,73100,INGEIA S.R.L.,Lecce,73100.0,Puglia,VIA IMBIRANI 17,Lecce,73100.0,PUGLIA,702209.0,02/02/2019,,Attiva,S.R.L.
Hotiday,Private,"E-Commerce, Hotel, Travel Agency",1-10,"Milan, Lombardia, Italy","394,553",7.0,,,,,,,,,,,,"Federico Brunelli, Federico Di Carlo, Vittorio Gargiulo",3.0,,2022-03-18,Active,,20141,HOTIDAY S.R.L.,Napoli,80143.0,Campania,,,,,791100.0,18/03/2022,,Attiva,S.R.L.
Tunnel Vision Studio,Private,"3D Technology, Video Games, Virtual Reality",1-10,"Rome, Lazio, Italy","1,879,381",16.0,,,,,,,,,,,,Lorenzo Gambardella,1.0,,2020-01-01,Active,,191,TUNNEL VISION S.R.L.,Roma,198.0,Lazio,,,,,582100.0,09/04/2021,,Attiva,S.R.L.
G-Factor,Private,,11-50,"Bologna, Emilia-Romagna, Italy","3,303,826",,,,,,,,,,,,,,,,2018-01-01,Active,,40133,TIG FACTORY S.R.L.,Milano,20146.0,Lombardia,VIALE CASSALA 36,Milano,20143.0,LOMBARDIA,620909.0,21/05/2020,,Attiva,S.R.L.
EXE Engineering,Private,"Biomass Energy, Energy, Energy Management, Environmental Engineering, Industrial Automation, Internet of Things, Mechanical Engineering, Oil and Gas, Renewable Energy, Waste Management",1-10,"Poggibonsi, Toscana, Italy","263,067",3.0,,,2.0,1.0,"IKIGAI, Biofund",,Pre-Seed,,,Seed,2.0,Gianni Cordaro,1.0,,2019-04-24,Active,,,GEEICO ENGINEERING S.R.L.,Salerno,84122.0,Campania,,,,,432201.0,20/02/2019,,Attiva,S.R.L.
Subphoton,Private,"Commercial, Consumer, Marine Technology",11-50,"Milan, Lombardia, Italy","113,227",7.0,,,1.0,,LIFTT,765416.0,Seed,765416.0,765416.0,Seed,1.0,,,,2018-01-01,Active,,,SUBPHOTON S.R.L.,Milano,20063.0,Lombardia,,,,,711200.0,13/12/2018,,Attiva,S.R.L.
Eco Efficiency,Private,"Energy, Environmental Engineering, Industrial Manufacturing, Manufacturing",1-10,"Milan, Lombardia, Italy","1,361,582",12.0,,,,,,,,,,,,,,,2022-01-01,Active,,20124,ECO EFFICIENCY S.R.L.,Milano,20124.0,Lombardia,VIA GUSTAVO FARA 39,Milano,20124.0,LOMBARDIA,271100.0,07/02/2022,,Attiva,S.R.L.
Oversonic Robotics,Private,"Information Technology, Robotics, Software",51-100,"Lombardi, Campania, Italy","45,226",8.0,,,3.0,3.0,"Datalogic, Cysero, FINTEL",5570280.0,Corporate Round,,,,3.0,,,,2020-01-01,Active,,,OVERSONIC ROBOTICS S.R.L. SOCIETA' BENEFIT,Monza e della Brianza,20841.0,Lombardia,VIA RIVABELLA 7,Monza e della Brianza,20842.0,LOMBARDIA,620100.0,10/11/2020,,Attiva,S.R.L.
Ephos,Private,"Hardware, Information Technology, Software Engineering",11-50,"Milan, Lombardia, Italy","28,865",10.0,,,13.0,1.0,"European Innovation Council, Collaborative Fund, The North Atlantic Treaty Organization, 2100 Ventures, Unruly Capital",8943947.0,Seed,8443975.0,8443975.0,Seed,2.0,,,,2022-01-01,Active,,,ENPHOS S.R.L.,Verona,37138.0,Veneto,,,,,282999.0,22/12/2020,,Attiva,S.R.L.
Genuino.Zero,Private,"Food and Beverage, Supply Chain Management",1-10,"Florence, Toscana, Italy","2,806,520",8.0,Acquisition,,,,,,,,,M&A,,Chiara Brandi,1.0,2024-02-05,2019-01-01,Active,,50121,GENUINO S.R.L.,Milano,20123.0,Lombardia,VIA GIOSUE' CARDUCCI 2,Milano,20123.0,LOMBARDIA,620100.0,01/04/2022,,Attiva,S.R.L.
TimeFlow,Private,"Information Technology, PaaS, Procurement, SaaS",11-50,"Milan, Lombardia, Italy","4,584",6.0,,,5.0,,"Cassa Depositi e Prestiti, Vertis, Azimut Holding, Growth Engine, Growth Capital",4595458.0,Seed,4197382.0,4197382.0,Seed,2.0,"Federico Patrioli, Gianmarco Ferrante, Iacopo Albanese, Lorenzo Danese",4.0,,2020-05-12,Active,Less than $1M,20122,TIMEFLOW S.R.L. SB,Lecce,73100.0,Puglia,,,,,620100.0,20/05/2020,,Attiva,S.R.L.
Here,Private,"Advertising, Graphic Design, Web Design",11-50,"Milan, Lombardia, Italy","3,453,250",5.0,,,,,,,,,,,,,,,2020-01-01,Active,,20123,HERE S.R.L.,Milano,20123.0,Lombardia,,,,,741029.0,25/09/2020,,Attiva,S.R.L.
Flyted,Private,"Aerospace, Industrial Engineering, Infrastructure, Mechanical Design, Technical Support",11-50,"Milan, Lombardia, Italy","84,081",9.0,,,1.0,1.0,ClubDeal Digital,1087429.0,Series A,1087429.0,1087429.0,Early Stage Venture,1.0,Matteo Mastrangelo,1.0,,2020-01-01,Active,$1M to $10M,20121,FLYTED S.R.L.,Milano,20121.0,Lombardia,VIA BRERA 3,Milano,20121.0,LOMBARDIA,711240.0,21/05/2020,,Attiva,S.R.L.
SQRD.tech,Private,"Information Technology, Mobile Apps, Software Engineering, Web Apps, Web Development",11-50,"Trieste, Friuli-Venezia Giulia, Italy","1,452,434",8.0,,,,,,,,,,,,,,,2018-01-01,Active,,34133,SQRD.TECH S.R.L.,Trieste,34133.0,Friuli-Venezia Giulia,,,,,620100.0,04/05/2021,,Attiva,S.R.L.
isendu,Private,"E-Commerce, Information Technology, Marketplace, SaaS, Shipping, Small and Medium Businesses, Software",51-100,"Milan, Lombardia, Italy","338,412",32.0,,,,,,,,,,,,"Lando Barbagli, Marco Benvenuti, Marco Pericci, Tommaso Giachi",4.0,,2019-05-01,Active,$1M to $10M,,ISENDU S.R.L.,Terni,5100.0,Umbria,VIA DEL GONFALONE 3,Milano,20123.0,LOMBARDIA,620100.0,23/05/2019,,Attiva,S.R.L.
Ageing Tech,Private,"Health Care, Information Technology, Medical",1-10,"Rome, Lazio, Italy","1,114,533",11.0,,,,,,,,,,,,,,,2018-09-21,Active,,197,AGEING TECH S.R.L.,Roma,136.0,Lazio,VIALE BRUNO BUOZZI 59,Roma,197.0,LAZIO,620100.0,21/09/2018,,Attiva,S.R.L.
Prosit,Private,,,"Bologna, Emilia-Romagna, Italy","2,477,278",,Acquisition,,,,,,,,,M&A,,,,2019-10-23,2018-01-01,Active,,,ROSITA S.R.L.,Milano,20061.0,Lombardia,VIA GUIDO ROSSA,Milano,20061.0,LOMBARDIA,561011.0,22/05/2020,,Attiva,S.R.L.
SbS Group,Private,"Architecture, Civil Engineering, Construction",1-10,"Pozzuoli, Campania, Italy","2,513,762",23.0,,,,,,,,,,,,Nicola Petriccione,1.0,,2018-01-01,Active,,80078,SBS GROUP S.R.L,Napoli,80133.0,Campania,,,,,711210.0,11/10/2018,,Attiva,S.R.L.
UDOG,Private,"E-Commerce, Shoes, Sports",1-10,"Padova, Veneto, Italy","860,271",9.0,,,,,,,,,,,,Alberto Fonte,1.0,,2021-01-01,Active,,35030,UDOG SRL,Padova,35141.0,Veneto,VIA MONTE GRAPPA 28 A,Padova,35141.0,VENETO,152010.0,22/12/2020,,Attiva,S.R.L.
DB Service,Private,"Industrial, Industrial Engineering, Manufacturing",1-10,"Bareggio, Lombardia, Italy","2,566,505",9.0,,,,,,,,,,,,Domenico Bianco,1.0,,2018-01-01,Active,$1M to $10M,20008,DK SERVICES S.R.L.,Milano,20123.0,Lombardia,VIA MATTEO BANDELLO 15,Milano,20123.0,LOMBARDIA,620100.0,07/04/2022,,Attiva,S.R.L.
Wirail,Private,"Data Management, Internet of Things, Real Time",1-10,"Turin, Piemonte, Italy","853,304",8.0,,,,,,,,,,,,,,,2019-01-01,Active,Less than $1M,10129,WIRAIL SRL,Torino,10129.0,Piemonte,VIA MARCO POLO 24,Torino,10129.0,PIEMONTE,265129.0,10/09/2019,,Attiva,S.R.L.
Bud Power,Private,"E-Commerce, Food and Beverage, Food Processing",1-10,"Rome, Lazio, Italy","726,562",14.0,,,,,,,,,,,,,,,2020-01-01,Active,$1M to $10M,135,POWER S.R.L,Cremona,26016.0,Lombardia,,,,,282500.0,16/05/2019,,Attiva,S.R.L.
Enovely,Private,"E-Commerce, Sales, Wine And Spirits",1-10,"Trento, Trentino-Alto Adige, Italy","3,652,745",8.0,,,,,,,,,,,,,,,2019-01-01,Active,$10M to $50M,38122,NOVELTY SRL,Roma,174.0,Lazio,,,,,620200.0,17/05/2019,,Attiva,S.R.L.
AATECH,Private,Financial Services,1-10,"Milan, Lombardia, Italy","643,506",3.0,,,,,,,,,,,,,,,2019-01-01,Active,,20126,ZERATECH SRL,Taranto,74019.0,Puglia,,,,,620100.0,24/02/2021,,Attiva,S.R.L.
Climbo,Private,"Information Technology, Internet, Software",,"Rome, Lazio, Italy","372,388",10.0,,,,,,,,,,,,,,,2020-01-01,Active,,185,CLIMBO S.R.L.,Roma,185.0,Lazio,,,,,620100.0,12/01/2021,,Attiva,S.R.L.
The Lab,Private,"App Marketing, Apps, Mobile Apps",11-50,"Turin, Piemonte, Italy","3,353,467",11.0,,,,,,,,,,,,,,,2018-01-01,Active,,10153,VLAB S.R.L.,Mantova,46100.0,Lombardia,,,,,263029.0,18/04/2019,,Attiva,S.R.L.
PDC Academy,Private,"Blockchain, Consulting, Education, Training",1-10,"Milan, Lombardia, Italy","677,805",17.0,,,,,,,,,,,,,,,2018-01-01,Active,Less than $1M,20124,DC ACADEMY SRL,Lecce,73100.0,Puglia,,,,,620100.0,31/12/2020,,Attiva,S.R.L.
THE TACTIGON,Private,"Artificial Intelligence (AI), Augmented Reality, Human Computer Interaction, Machine Learning, Virtual Reality, Wearables",1-10,"Inzago, Lombardia, Italy","145,319",3.0,,,,,,263188.0,Seed,263188.0,263188.0,Seed,1.0,MASSIMILIANO BELLINO,1.0,,2018-06-30,Active,,20065,TRACTION GROUP S.R.L.,Roma,141.0,Lazio,VIA VAL DI LANZO 113,Roma,141.0,LAZIO,620100.0,17/11/2021,,Attiva,S.R.L.
Virgo,Private,"Blockchain, Information Technology, Software",1-10,"Milan, Lombardia, Italy","2,771,581",,,,,,,,,,,,,,,,2019-01-01,Active,,20124,VIRGOLA S.R.L.,Napoli,80122.0,Campania,,,,,721909.0,12/04/2022,,Attiva,S.R.L.
Tecno In,Private,"Data Integration, Environmental Engineering",51-100,"San Donato Milanese, Lombardia, Italy","1,737,677",7.0,,,,,,,,,,,,,,,2019-01-01,Active,,20097,ETECNOS S.R.L.,Venezia,30015.0,Veneto,,,,,620100.0,21/09/2021,,Attiva,S.R.L.
